VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,total_amount,buildingid_pickup,buildingid_dropoff,buildingtext_pickup,buildingtext_dropoff
VTS,2009-04-03 11:19:00 +00:00,2009-04-03 12:10:00 +00:00,2,18.23,-73.781486999999998,40.644855,-73.983457999999999,40.76023,45,0,49.149999999999999,0,727446,,"POLYGON ((-73.9834581476625 40.7599746113394,-73.983476555284 40.7599494394722,-73.9835762199687 40.759991575731,-73.9837948598492 40.7600840128814,-73.9836339942185 40.7603040041386,-73.9836177261029 40.7603262514949,-73.9835858258797 40.7603127645988,-73.9835429484664 40.7602946367262,-73.9835413391872 40.7602939566153,-73.983299420738 40.7601916776011,-73.983432649683 40.7600094824205,-73.9834581476625 40.7599746113394))"
CMT,2009-04-03 20:11:17 +00:00,2009-04-03 20:23:16 +00:00,1,2.1000000000000001,-73.988380000000006,40.738596999999999,-73.984720999999993,40.761355000000002,9,0,9,0,314328,,"POLYGON ((-73.9843331751259 40.7612919800727,-73.9845640768312 40.7613890532089,-73.9845844721724 40.7613976269415,-73.9846296086127 40.761335554894,-73.9846634241626 40.7612890510447,-73.9846731053718 40.7612757356724,-73.9847149156068 40.7612933127717,-73.9847532810494 40.7613094413888,-73.9848329369472 40.7613429290586,-73.9848057473976 40.761380322527,-73.9847757714498 40.7614215463666,-73.9847619651814 40.7614405334794,-73.9847520422914 40.7614541793119,-73.9846626294756 40.7615771430356,-73.9846581241149 40.7615833388069,-73.9846458416334 40.761578175479,-73.984352520391 40.7614548614523,-73.9842543024189 40.761413569845,-73.9843331751259 40.7612919800727))"
CMT,2009-04-25 18:49:50 +00:00,2009-04-25 19:04:00 +00:00,1,6.0999999999999996,-74.012544000000005,40.702540999999997,-73.983993999999996,40.759044000000003,16.100000000000001,0,16.100000000000001,0,0,,
CMT,2009-04-23 08:35:13 +00:00,2009-04-23 08:40:25 +00:00,1,1.3,-73.988153999999994,40.774828999999997,-73.984795000000005,40.760323999999997,5.2999999999999998,0,5.2999999999999998,0,0,,
VTS,2009-04-30 10:26:00 +00:00,2009-04-30 10:29:00 +00:00,2,0.48999999999999999,-73.984792999999996,40.766193000000001,-73.985877000000002,40.760663000000001,4.0999999999999996,0,4.0999999999999996,0,0,,
VTS,2009-04-08 19:16:00 +00:00,2009-04-08 19:29:00 +00:00,2,1.6699999999999999,-73.961337999999998,40.757573000000001,-73.984975000000006,40.759887999999997,8.0999999999999996,0,9.0999999999999996,0,0,,
VTS,2009-04-11 18:49:00 +00:00,2009-04-11 18:55:00 +00:00,4,1.02,-73.982686999999999,40.771625,-73.984938,40.760751999999997,5.2999999999999998,0,5.2999999999999998,0,605913,,"POLYGON ((-73.9855465678872 40.760508838409,-73.9853722457774 40.7607474447202,-73.9853541845654 40.7607721666791,-73.9852384721306 40.7609305479614,-73.9852202947228 40.7609554283725,-73.9851959286351 40.7609887790318,-73.9848779366194 40.7608544580929,-73.984727704039 40.7607909986286,-73.9847034081801 40.7607807359566,-73.9846771655346 40.7607696508598,-73.9846903512594 40.7607448923391,-73.984701264516 40.7607243992052,-73.9847946246556 40.7605490941275,-73.9848161468266 40.7605437902925,-73.9848629053048 40.7605635409098,-73.9849360817159 40.7604633810706,-73.9848893232865 40.7604436295823,-73.9848604539409 40.7604119055168,-73.9848925353183 40.7603538262795,-73.9849025905045 40.7603356238967,-73.9849194462877 40.7603051089029,-73.9849250667922 40.7603004360195,-73.9849312473674 40.7602961909487,-73.9849379311586 40.7602924124048,-73.9849450565754 40.7602891336983,-73.9849525608436 40.7602863863386,-73.984960375269 40.7602841946302,-73.9849684276061 40.7602825774743,-73.9849766456099 40.7602815510705,-73.9849849546687 40.7602811226131,-73.9849932801713 40.7602812983958,-73.9850015463241 40.7602820757073,-73.985009201269 40.7602833671268,-73.9850096773346 40.7602834473336,-73.98501759978 40.7602854006583,-73.9855327022877 40.7605029815877,-73.9855465678872 40.760508838409))"
CMT,2009-04-28 23:35:22 +00:00,2009-04-28 23:54:43 +00:00,3,3.6000000000000001,-73.988324000000006,40.72139,-73.985287999999997,40.759611999999997,12.9,2.6800000000000002,15.58,0,0,,
VTS,2009-04-21 06:25:00 +00:00,2009-04-21 06:31:00 +00:00,1,1.25,-73.968897999999996,40.764110000000002,-73.985453000000007,40.759385000000002,5.7000000000000002,0,5.7000000000000002,0,71997,,"POLYGON ((-73.9853110663121 40.7592649261864,-73.9855018676917 40.7593458327945,-73.9855399710483 40.7592938775582,-73.9855426802759 40.7592901831271,-73.9856007799256 40.7592109621929,-73.9858853791058 40.7593316434411,-73.9857809599802 40.7594740220136,-73.9857661036799 40.7594942788341,-73.9857123160019 40.759567620988,-73.9854848129335 40.7594711511917,-73.9852997662384 40.7593926838582,-73.9852703280004 40.7593802009031,-73.9853110663121 40.7592649261864))"
VTS,2009-04-05 00:51:00 +00:00,2009-04-05 00:57:00 +00:00,5,0.90000000000000002,-73.996043,40.767293000000002,-73.986841999999996,40.761266999999997,4.9000000000000004,2,7.4000000000000004,0,0,,
CMT,2009-04-23 12:06:28 +00:00,2009-04-23 12:16:50 +00:00,1,1.8999999999999999,-73.979708000000002,40.784526999999997,-73.986177999999995,40.760739999999998,8.0999999999999996,0,8.0999999999999996,0,0,,
CMT,2009-04-15 07:01:47 +00:00,2009-04-15 07:08:42 +00:00,1,1.3,-73.988020000000006,40.774825,-73.982806999999994,40.760261999999997,6.0999999999999996,0,6.0999999999999996,0,996685,,"POLYGON ((-73.9824943116576 40.7604688990929,-73.9825550995462 40.7603852163148,-73.9825730928483 40.7603927724709,-73.982711892634 40.7602016954932,-73.982720272915 40.7602052141216,-73.9827355070882 40.7601842436523,-73.982747743941 40.7601673979438,-73.9828638067884 40.7602161433743,-73.9829497258274 40.7602522276373,-73.9834904813665 40.7604793353252,-73.9831533644536 40.7609434299961,-73.983152055347 40.7609452317143,-73.9830911391086 40.7609196475596,-73.9826357833591 40.7607284072076,-73.982421138175 40.7606382593596,-73.9824210754143 40.7606382332353,-73.9824107187277 40.7606338831178,-73.982439832133 40.7605938051991,-73.9824120540633 40.7605821385264,-73.9824943116576 40.7604688990929))"
CMT,2009-04-19 00:26:25 +00:00,2009-04-19 00:31:21 +00:00,1,1.2,-73.990532000000002,40.746098000000003,-73.986925999999997,40.760235999999999,5.2999999999999998,0,5.2999999999999998,0,0,,
CMT,2009-04-30 06:43:16 +00:00,2009-04-30 06:52:02 +00:00,1,2.2999999999999998,-73.959785999999994,40.776919999999997,-73.984718999999998,40.760061999999998,8.0999999999999996,0,8.0999999999999996,0,0,,
VTS,2009-04-20 10:45:00 +00:00,2009-04-20 11:02:00 +00:00,2,2.2799999999999998,-73.954842999999997,40.76397,-73.984269999999995,40.759973000000002,10.1,2,12.1,0,0,,
CMT,2009-04-01 23:10:03 +00:00,2009-04-01 23:11:18 +00:00,1,0.29999999999999999,-73.982225999999997,40.762385000000002,-73.985674000000003,40.759610000000002,3.3999999999999999,0,3.3999999999999999,0,0,,
CMT,2009-04-18 13:04:45 +00:00,2009-04-18 13:21:41 +00:00,3,3.7999999999999998,-73.946938000000003,40.780177999999999,-73.987255000000005,40.760147000000003,13.300000000000001,0,13.300000000000001,0,234124,,"POLYGON ((-73.9870535105538 40.7601363221624,-73.9871923522742 40.7599470020734,-73.9874629426019 40.7600617372231,-73.9875093817809 40.7600814281999,-73.9874059754083 40.7602224305671,-73.9873933701613 40.7602396189215,-73.9873705406814 40.7602707486673,-73.9873691883338 40.7602701748976,-73.9870535105538 40.7601363221624))"
CMT,2009-04-04 15:25:03 +00:00,2009-04-04 15:32:32 +00:00,4,0.90000000000000002,-73.987482,40.749958999999997,-73.986717999999996,40.760092,6.0999999999999996,0,6.0999999999999996,0,0,,
VTS,2009-04-24 11:18:00 +00:00,2009-04-24 11:42:00 +00:00,1,3.4700000000000002,-73.950059999999993,40.771655000000003,-73.985307000000006,40.758803,14.1,1,15.1,0,0,,
